@attribute name string
@attribute pcm_LOGenergy_sma_maxPos numeric
@attribute emotion {sadness,neutral,joy,anger}


@Data
'fixed_7 Neutrali_12',1.500000e+02,neutral
'fixed_1 Dziaugsmas_18',2.130000e+02,joy
'fixed_5 Dziaugsmas_13',1.850000e+02,joy
'fixed_1 Dziaugsmas_19',2.490000e+02,joy
'fixed_7 Neutrali_13',2.660000e+02,neutral
'fixed_2 Neutrali_15',1.560000e+02,neutral
'fixed_5 Dziaugsmas_14',1.160000e+02,joy
'fixed_1 Dziaugsmas_20',2.060000e+02,joy
'fixed_1 Dziaugsmas_21',5.700000e+01,joy
'fixed_2 Neutrali_16',7.800000e+01,neutral
'fixed_7 Neutrali_14',9.100000e+01,neutral
'fixed_5 Dziaugsmas_15',1.530000e+02,joy
'fixed_1 Dziaugsmas_22',2.130000e+02,joy
'fixed_2 Neutrali_17',8.100000e+01,neutral
'fixed_1 Dziaugsmas_23',1.180000e+02,joy
'fixed_7 Neutrali_15',1.350000e+02,neutral
'fixed_5 Dziaugsmas_16',6.000000e+01,joy
'fixed_1 Dziaugsmas_24',1.060000e+02,joy
'fixed_7 Neutrali_16',1.350000e+02,neutral
'fixed_2 Neutrali_18',1.000000e+02,neutral
'fixed_5 Dziaugsmas_17',6.600000e+01,joy
'fixed_1 Dziaugsmas_25',9.900000e+01,joy
'fixed_5 Dziaugsmas_18',1.550000e+02,joy
'fixed_7 Neutrali_17',8.000000e+01,neutral
'fixed_1 Dziaugsmas_26',2.900000e+01,joy
'fixed_2 Neutrali_19',2.120000e+02,neutral
'fixed_5 Dziaugsmas_19',2.490000e+02,joy
'fixed_7 Neutrali_18',6.700000e+01,neutral
'fixed_1 Dziaugsmas_27',2.070000e+02,joy
'fixed_2 Neutrali_20',2.120000e+02,neutral
'fixed_5 Dziaugsmas_20',1.840000e+02,joy
'fixed_1 Dziaugsmas_28',7.800000e+01,joy
'fixed_7 Neutrali_19',1.960000e+02,neutral
'fixed_2 Neutrali_21',1.790000e+02,neutral
'fixed_5 Dziaugsmas_21',2.370000e+02,joy
'fixed_2 Neutrali_22',1.290000e+02,neutral
'fixed_5 Dziaugsmas_22',2.210000e+02,joy
'fixed_7 Neutrali_20',2.490000e+02,neutral
'fixed_1 Dziaugsmas_29',2.490000e+02,joy
'fixed_1 Dziaugsmas_30',6.200000e+01,joy
'fixed_7 Neutrali_21',1.340000e+02,neutral
'fixed_2 Neutrali_23',1.100000e+02,neutral
'fixed_5 Dziaugsmas_23',1.210000e+02,joy
'fixed_7 Neutrali_22',2.590000e+02,neutral
'fixed_2 Neutrali_24',1.060000e+02,neutral
'fixed_1 Dziaugsmas_31',2.900000e+01,joy
'fixed_7 Neutrali_23',1.080000e+02,neutral
'fixed_5 Dziaugsmas_24',1.110000e+02,joy
'fixed_2 Neutrali_25',9.000000e+01,neutral
'fixed_7 Neutrali_24',3.400000e+02,neutral
'fixed_1 Dziaugsmas_32',5.400000e+01,joy
'fixed_2 Neutrali_26',4.700000e+01,neutral
'fixed_7 Neutrali_25',1.150000e+02,neutral
'fixed_1 Dziaugsmas_33',5.800000e+01,joy
'fixed_2 Neutrali_27',1.220000e+02,neutral
'fixed_7 Neutrali_26',8.000000e+01,neutral
'fixed_1 Dziaugsmas_34',7.700000e+01,joy
'fixed_2 Neutrali_28',1.280000e+02,neutral
'fixed_7 Neutrali_27',2.470000e+02,neutral
'fixed_1 Dziaugsmas_35',5.600000e+01,joy
'fixed_2 Neutrali_29',1.380000e+02,neutral
'fixed_7 Neutrali_28',9.100000e+01,neutral
'fixed_5 Dziaugsmas_25',7.600000e+01,joy
'fixed_1 Dziaugsmas_36',3.100000e+01,joy
'fixed_7 Neutrali_29',3.040000e+02,neutral
'fixed_2 Neutrali_30',6.300000e+01,neutral
'fixed_7 Neutrali_30',6.500000e+01,neutral
'fixed_2 Neutrali_31',9.700000e+01,neutral
'fixed_1 Dziaugsmas_37',1.410000e+02,joy
'fixed_2 Neutrali_32',8.600000e+01,neutral
'fixed_7 Neutrali_31',2.600000e+01,neutral
'fixed_1 Dziaugsmas_38',1.460000e+02,joy
'fixed_7 Neutrali_32',7.200000e+01,neutral
'fixed_5 Dziaugsmas_26',2.330000e+02,joy
'fixed_2 Neutrali_33',1.570000e+02,neutral
'fixed_5 Dziaugsmas_27',8.400000e+01,joy
'fixed_1 Dziaugsmas_39',2.450000e+02,joy
'fixed_5 Dziaugsmas_28',8.100000e+01,joy
'fixed_1 Dziaugsmas_40',1.040000e+02,joy
'fixed_2 Neutrali_34',7.100000e+01,neutral
'fixed_7 Neutrali_33',1.950000e+02,neutral
'fixed_7 Neutrali_34',8.300000e+01,neutral
'fixed_2 Neutrali_35',1.140000e+02,neutral
'fixed_2 Neutrali_36',9.800000e+01,neutral
'fixed_7 Neutrali_35',7.500000e+01,neutral
'fixed_2 Neutrali_37',2.360000e+02,neutral
'fixed_1 Dziaugsmas_41',1.570000e+02,joy
'fixed_1 Dziaugsmas_42',2.900000e+01,joy
'fixed_7 Neutrali_36',4.800000e+01,neutral
'fixed_2 Neutrali_38',1.620000e+02,neutral
'fixed_7 Neutrali_37',1.730000e+02,neutral
'fixed_5 Dziaugsmas_29',2.760000e+02,joy
'fixed_2 Neutrali_39',2.750000e+02,neutral
'fixed_2 Neutrali_40',1.180000e+02,neutral
'fixed_1 Dziaugsmas_43',1.120000e+02,joy
'fixed_5 Dziaugsmas_30',5.500000e+01,joy
'fixed_2 Neutrali_41',2.620000e+02,neutral
'fixed_1 Dziaugsmas_44',1.810000e+02,joy
'fixed_2 Neutrali_42',1.860000e+02,neutral
'fixed_7 Neutrali_38',1.000000e+02,neutral
'fixed_2 Neutrali_43',1.570000e+02,neutral
'fixed_7 Neutrali_39',2.970000e+02,neutral
'fixed_1 Dziaugsmas_45',2.090000e+02,joy
'fixed_2 Neutrali_44',2.300000e+02,neutral
'fixed_2 Neutrali_45',2.010000e+02,neutral
'fixed_2 Neutrali_46',1.740000e+02,neutral
'fixed_7 Neutrali_40',1.090000e+02,neutral
'fixed_1 Dziaugsmas_46',1.380000e+02,joy
'fixed_2 Neutrali_47',1.020000e+02,neutral
'fixed_7 Neutrali_41',2.070000e+02,neutral
'fixed_2 Neutrali_48',2.730000e+02,neutral
'fixed_7 Neutrali_42',4.500000e+01,neutral
'fixed_1 Dziaugsmas_47',4.400000e+01,joy
'fixed_2 Neutrali_49',1.350000e+02,neutral
'fixed_5 Dziaugsmas_31',3.600000e+01,joy
'fixed_2 Neutrali_50',1.010000e+02,neutral
'fixed_1 Dziaugsmas_48',1.880000e+02,joy
'fixed_7 Neutrali_43',2.860000e+02,neutral
'fixed_1 Dziaugsmas_49',1.260000e+02,joy
'fixed_2 Neutrali_51',9.800000e+01,neutral
'fixed_7 Neutrali_44',2.200000e+02,neutral
'fixed_5 Dziaugsmas_32',6.800000e+01,joy
'fixed_7 Neutrali_45',2.230000e+02,neutral
'fixed_5 Dziaugsmas_33',1.480000e+02,joy
'fixed_7 Neutrali_46',1.650000e+02,neutral
'fixed_1 Dziaugsmas_50',1.100000e+02,joy
'fixed_2 Neutrali_52',2.080000e+02,neutral
'fixed_7 Neutrali_47',5.800000e+01,neutral
'fixed_2 Neutrali_53',3.240000e+02,neutral
'fixed_7 Neutrali_48',2.250000e+02,neutral
'fixed_1 Dziaugsmas_51',2.450000e+02,joy
'fixed_2 Neutrali_54',1.710000e+02,neutral
'fixed_7 Neutrali_49',9.500000e+01,neutral
'fixed_2 Neutrali_55',1.640000e+02,neutral
'fixed_5 Dziaugsmas_34',3.300000e+02,joy
'fixed_1 Dziaugsmas_52',2.220000e+02,joy
'fixed_2 Neutrali_56',5.800000e+01,neutral
'fixed_7 Neutrali_50',1.220000e+02,neutral
'fixed_7 Neutrali_51',3.160000e+02,neutral
'fixed_5 Dziaugsmas_35',1.260000e+02,joy
'fixed_2 Neutrali_57',2.170000e+02,neutral
'fixed_7 Neutrali_52',3.600000e+02,neutral
'fixed_1 Dziaugsmas_53',2.540000e+02,joy
'fixed_2 Neutrali_58',3.310000e+02,neutral
'fixed_5 Dziaugsmas_36',3.380000e+02,joy
'fixed_1 Dziaugsmas_54',2.300000e+02,joy
'fixed_2 Neutrali_59',2.920000e+02,neutral
'fixed_7 Neutrali_53',3.390000e+02,neutral
'fixed_5 Dziaugsmas_37',1.640000e+02,joy
'fixed_2 Neutrali_60',2.100000e+02,neutral
'fixed_2 Neutrali_61',2.800000e+02,neutral
'fixed_1 Dziaugsmas_55',6.600000e+01,joy
'fixed_7 Neutrali_54',2.900000e+02,neutral
'fixed_5 Dziaugsmas_38',3.200000e+01,joy
'fixed_1 Dziaugsmas_56',1.360000e+02,joy
'fixed_2 Neutrali_62',2.890000e+02,neutral
'fixed_7 Neutrali_55',2.670000e+02,neutral
'fixed_7 Neutrali_56',1.690000e+02,neutral
'fixed_2 Neutrali_63',1.220000e+02,neutral
'fixed_5 Dziaugsmas_39',1.540000e+02,joy
'fixed_7 Neutrali_57',3.010000e+02,neutral
'fixed_7 Neutrali_58',3.370000e+02,neutral
'fixed_5 Dziaugsmas_40',1.850000e+02,joy
'fixed_1 Dziaugsmas_57',2.330000e+02,joy
'fixed_7 Neutrali_59',2.100000e+02,neutral
'fixed_2 Neutrali_64',1.150000e+02,neutral
'fixed_1 Dziaugsmas_58',2.890000e+02,joy
'fixed_5 Dziaugsmas_41',3.440000e+02,joy
'fixed_7 Neutrali_60',5.800000e+01,neutral
'fixed_2 Neutrali_65',1.760000e+02,neutral
'fixed_5 Dziaugsmas_42',3.700000e+01,joy
'fixed_7 Neutrali_61',5.000000e+01,neutral
'fixed_1 Dziaugsmas_59',1.630000e+02,joy
'fixed_2 Neutrali_66',1.140000e+02,neutral
'fixed_7 Neutrali_62',2.750000e+02,neutral
'fixed_5 Dziaugsmas_43',2.540000e+02,joy
'fixed_2 Neutrali_67',2.320000e+02,neutral
'fixed_7 Neutrali_63',3.090000e+02,neutral
'fixed_1 Dziaugsmas_60',7.100000e+01,joy
'fixed_2 Neutrali_68',3.000000e+02,neutral
'fixed_7 Neutrali_64',2.890000e+02,neutral
'fixed_5 Dziaugsmas_44',1.830000e+02,joy
'fixed_7 Neutrali_65',1.720000e+02,neutral
'fixed_2 Neutrali_69',2.720000e+02,neutral
'fixed_7 Neutrali_66',9.600000e+01,neutral
'fixed_1 Dziaugsmas_61',2.500000e+01,joy
'fixed_2 Neutrali_70',3.450000e+02,neutral
'fixed_5 Dziaugsmas_45',1.660000e+02,joy
'fixed_7 Neutrali_67',2.190000e+02,neutral
'fixed_2 Neutrali_71',3.690000e+02,neutral
'fixed_7 Neutrali_68',2.830000e+02,neutral
'fixed_7 Neutrali_69',3.830000e+02,neutral
'fixed_2 Neutrali_72',2.260000e+02,neutral
'fixed_7 Neutrali_70',9.000000e+01,neutral
'fixed_5 Dziaugsmas_46',1.310000e+02,joy
'fixed_7 Neutrali_71',9.400000e+01,neutral
'fixed_1 Dziaugsmas_62',2.370000e+02,joy
'fixed_2 Neutrali_73',6.400000e+01,neutral
'fixed_5 Dziaugsmas_47',4.600000e+01,joy
'fixed_2 Neutrali_74',1.870000e+02,neutral
'fixed_1 Dziaugsmas_63',7.100000e+01,joy
'fixed_5 Dziaugsmas_48',1.740000e+02,joy
'fixed_2 Neutrali_75',2.870000e+02,neutral
'fixed_7 Neutrali_72',1.500000e+02,neutral
'fixed_7 Neutrali_73',6.800000e+01,neutral
'fixed_2 Neutrali_76',3.040000e+02,neutral
'fixed_7 Neutrali_74',1.610000e+02,neutral
'fixed_7 Neutrali_75',3.110000e+02,neutral
'fixed_1 Dziaugsmas_64',6.600000e+01,joy
'fixed_2 Neutrali_77',3.130000e+02,neutral
'fixed_5 Dziaugsmas_49',1.360000e+02,joy
'fixed_7 Neutrali_76',3.450000e+02,neutral
'fixed_5 Dziaugsmas_50',1.020000e+02,joy
'fixed_1 Dziaugsmas_65',8.800000e+01,joy
'fixed_2 Neutrali_78',1.140000e+02,neutral
'fixed_7 Neutrali_77',1.390000e+02,neutral
'fixed_7 Neutrali_78',4.800000e+01,neutral
'fixed_7 Neutrali_79',1.970000e+02,neutral
'fixed_7 Neutrali_80',2.110000e+02,neutral
'fixed_2 Neutrali_79',2.700000e+02,neutral
'fixed_5 Dziaugsmas_51',5.300000e+01,joy
'fixed_2 Neutrali_80',2.270000e+02,neutral
'fixed_2 Neutrali_81',2.360000e+02,neutral
'fixed_2 Neutrali_82',1.080000e+02,neutral
'fixed_5 Dziaugsmas_52',2.720000e+02,joy
'fixed_7 Neutrali_81',2.290000e+02,neutral
'fixed_2 Neutrali_83',1.340000e+02,neutral
'fixed_1 Dziaugsmas_66',8.800000e+01,joy
'fixed_5 Dziaugsmas_53',2.520000e+02,joy
'fixed_7 Neutrali_82',8.000000e+01,neutral
'fixed_5 Dziaugsmas_54',2.180000e+02,joy
'fixed_2 Neutrali_84',1.110000e+02,neutral
'fixed_2 Neutrali_85',2.160000e+02,neutral
'fixed_7 Neutrali_83',1.400000e+02,neutral
'fixed_2 Neutrali_86',2.420000e+02,neutral
'fixed_1 Dziaugsmas_67',2.080000e+02,joy
'fixed_5 Dziaugsmas_55',5.700000e+01,joy
'fixed_7 Neutrali_84',1.910000e+02,neutral
'fixed_2 Neutrali_87',1.480000e+02,neutral
'fixed_7 Neutrali_85',1.530000e+02,neutral
'fixed_2 Neutrali_88',1.250000e+02,neutral
'fixed_5 Dziaugsmas_56',1.220000e+02,joy
'fixed_1 Dziaugsmas_68',2.820000e+02,joy
'fixed_2 Neutrali_89',2.170000e+02,neutral
'fixed_7 Neutrali_86',3.050000e+02,neutral
'fixed_7 Neutrali_87',2.720000e+02,neutral
'fixed_5 Dziaugsmas_57',1.570000e+02,joy
'fixed_7 Neutrali_88',7.500000e+01,neutral
'fixed_2 Neutrali_90',1.430000e+02,neutral
'fixed_1 Dziaugsmas_69',2.720000e+02,joy
'fixed_2 Neutrali_91',2.540000e+02,neutral
'fixed_1 Dziaugsmas_70',7.100000e+01,joy
'fixed_5 Dziaugsmas_58',2.640000e+02,joy
'fixed_7 Neutrali_89',2.520000e+02,neutral
'fixed_2 Neutrali_92',1.330000e+02,neutral
'fixed_5 Dziaugsmas_59',1.700000e+02,joy
'fixed_7 Neutrali_90',4.000000e+01,neutral
'fixed_7 Neutrali_91',3.160000e+02,neutral
'fixed_2 Neutrali_93',1.320000e+02,neutral
'fixed_7 Neutrali_92',8.700000e+01,neutral
'fixed_2 Neutrali_94',2.750000e+02,neutral
'fixed_5 Dziaugsmas_60',1.450000e+02,joy
'fixed_7 Neutrali_93',3.630000e+02,neutral
'fixed_2 Neutrali_95',1.610000e+02,neutral
'fixed_1 Dziaugsmas_71',2.880000e+02,joy
'fixed_7 Neutrali_94',2.220000e+02,neutral
'fixed_7 Neutrali_95',2.880000e+02,neutral
'fixed_2 Neutrali_96',1.470000e+02,neutral
'fixed_1 Dziaugsmas_72',1.520000e+02,joy
'fixed_7 Neutrali_96',1.970000e+02,neutral
'fixed_5 Dziaugsmas_61',6.800000e+01,joy
'fixed_2 Neutrali_97',3.610000e+02,neutral
'fixed_1 Dziaugsmas_73',6.300000e+01,joy
'fixed_2 Neutrali_98',1.540000e+02,neutral
'fixed_2 Neutrali_99',2.800000e+02,neutral
'fixed_1 Dziaugsmas_74',1.380000e+02,joy
'fixed_7 Neutrali_97',4.410000e+02,neutral
'fixed_5 Dziaugsmas_62',2.310000e+02,joy
'fixed_7 Neutrali_98',3.800000e+01,neutral
'fixed_2 Pyktis_01',1.710000e+02,anger
'fixed_1 Dziaugsmas_75',2.640000e+02,joy
'fixed_7 Neutrali_99',3.500000e+01,neutral
'fixed_5 Dziaugsmas_63',8.000000e+01,joy
'fixed_2 Pyktis_02',1.500000e+02,anger
'fixed_7 Pyktis_01',2.000000e+02,anger
'fixed_1 Dziaugsmas_76',2.510000e+02,joy
'fixed_5 Dziaugsmas_64',6.500000e+01,joy
'fixed_2 Pyktis_03',1.080000e+02,anger
'fixed_5 Dziaugsmas_65',1.180000e+02,joy
'fixed_7 Pyktis_02',1.800000e+01,anger
'fixed_2 Pyktis_04',2.200000e+02,anger
'fixed_1 Dziaugsmas_77',5.800000e+01,joy
'fixed_5 Dziaugsmas_66',8.800000e+01,joy
'fixed_7 Pyktis_03',1.410000e+02,anger
'fixed_2 Pyktis_05',3.160000e+02,anger
'fixed_1 Dziaugsmas_78',4.700000e+01,joy
'fixed_5 Dziaugsmas_67',1.790000e+02,joy
'fixed_7 Pyktis_04',3.660000e+02,anger
'fixed_7 Pyktis_05',3.610000e+02,anger
'fixed_2 Pyktis_06',1.800000e+02,anger
'fixed_5 Dziaugsmas_68',2.400000e+02,joy
'fixed_7 Pyktis_06',7.000000e+01,anger
'fixed_2 Pyktis_07',2.370000e+02,anger
'fixed_2 Pyktis_08',1.150000e+02,anger
'fixed_7 Pyktis_07',1.980000e+02,anger
'fixed_2 Pyktis_09',2.230000e+02,anger
'fixed_2 Pyktis_10',1.180000e+02,anger
'fixed_1 Dziaugsmas_79',3.150000e+02,joy
'fixed_7 Pyktis_08',2.430000e+02,anger
'fixed_2 Pyktis_100',3.870000e+02,anger
'fixed_7 Pyktis_09',3.180000e+02,anger
'fixed_2 Pyktis_11',9.600000e+01,anger
'fixed_1 Dziaugsmas_80',1.910000e+02,joy
'fixed_5 Dziaugsmas_69',2.570000e+02,joy
'fixed_7 Pyktis_10',6.200000e+01,anger
'fixed_1 Dziaugsmas_81',1.870000e+02,joy
'fixed_2 Pyktis_12',2.620000e+02,anger
'fixed_1 Dziaugsmas_82',7.800000e+01,joy
'fixed_5 Dziaugsmas_70',1.620000e+02,joy
'fixed_7 Pyktis_100',4.180000e+02,anger
'fixed_5 Dziaugsmas_71',3.020000e+02,joy
'fixed_7 Pyktis_11',2.400000e+01,anger
'fixed_1 Dziaugsmas_83',8.400000e+01,joy
'fixed_7 Pyktis_12',6.900000e+01,anger
'fixed_7 Pyktis_13',2.610000e+02,anger
'fixed_2 Pyktis_13',2.870000e+02,anger
'fixed_7 Pyktis_14',2.610000e+02,anger
'fixed_5 Dziaugsmas_72',2.280000e+02,joy
'fixed_2 Pyktis_14',1.370000e+02,anger
'fixed_1 Dziaugsmas_84',4.200000e+01,joy
'fixed_2 Pyktis_15',1.490000e+02,anger
'fixed_5 Dziaugsmas_73',5.900000e+01,joy
'fixed_7 Pyktis_15',2.420000e+02,anger
'fixed_1 Dziaugsmas_85',1.330000e+02,joy
'fixed_5 Dziaugsmas_74',2.860000e+02,joy
'fixed_2 Pyktis_16',1.570000e+02,anger
'fixed_1 Dziaugsmas_86',8.400000e+01,joy
'fixed_2 Pyktis_17',1.210000e+02,anger
'fixed_1 Dziaugsmas_87',1.590000e+02,joy
'fixed_5 Dziaugsmas_75',2.850000e+02,joy
'fixed_7 Pyktis_16',6.600000e+01,anger
'fixed_2 Pyktis_18',2.930000e+02,anger
'fixed_5 Dziaugsmas_76',2.620000e+02,joy
'fixed_7 Pyktis_17',8.200000e+01,anger
'fixed_5 Dziaugsmas_77',6.500000e+01,joy
'fixed_1 Dziaugsmas_88',1.410000e+02,joy
'fixed_2 Pyktis_19',3.450000e+02,anger
'fixed_7 Pyktis_18',1.760000e+02,anger
'fixed_2 Pyktis_20',3.030000e+02,anger
'fixed_7 Pyktis_19',3.590000e+02,anger
'fixed_1 Dziaugsmas_89',1.220000e+02,joy
'fixed_5 Dziaugsmas_78',2.100000e+02,joy
'fixed_1 Dziaugsmas_90',2.900000e+01,joy
'fixed_7 Pyktis_20',2.840000e+02,anger
'fixed_2 Pyktis_21',1.180000e+02,anger
'fixed_5 Dziaugsmas_79',2.030000e+02,joy
'fixed_2 Pyktis_22',1.320000e+02,anger
'fixed_7 Pyktis_21',2.630000e+02,anger
'fixed_7 Pyktis_22',2.840000e+02,anger
'fixed_7 Pyktis_23',8.400000e+01,anger
'fixed_1 Dziaugsmas_91',1.990000e+02,joy
'fixed_7 Pyktis_24',3.550000e+02,anger
'fixed_5 Dziaugsmas_80',2.150000e+02,joy
'fixed_2 Pyktis_23',1.140000e+02,anger
'fixed_1 Dziaugsmas_92',6.100000e+01,joy
'fixed_5 Dziaugsmas_81',2.920000e+02,joy
'fixed_2 Pyktis_24',3.320000e+02,anger
'fixed_7 Pyktis_25',9.200000e+01,anger
'fixed_7 Pyktis_26',4.700000e+01,anger
'fixed_1 Dziaugsmas_93',2.110000e+02,joy
'fixed_5 Dziaugsmas_82',8.200000e+01,joy
'fixed_2 Pyktis_25',1.270000e+02,anger
'fixed_5 Dziaugsmas_83',1.560000e+02,joy
'fixed_7 Pyktis_27',2.530000e+02,anger
'fixed_5 Dziaugsmas_84',5.100000e+01,joy
'fixed_1 Dziaugsmas_94',1.780000e+02,joy
'fixed_7 Pyktis_28',1.970000e+02,anger
'fixed_2 Pyktis_26',1.090000e+02,anger
'fixed_1 Dziaugsmas_95',8.500000e+01,joy
'fixed_7 Pyktis_29',3.950000e+02,anger
'fixed_2 Pyktis_27',1.390000e+02,anger
'fixed_1 Dziaugsmas_96',1.020000e+02,joy
'fixed_5 Dziaugsmas_85',3.460000e+02,joy
'fixed_1 Dziaugsmas_97',2.440000e+02,joy
'fixed_2 Pyktis_28',1.010000e+02,anger
'fixed_1 Dziaugsmas_98',2.700000e+01,joy
'fixed_7 Pyktis_30',6.800000e+01,anger
'fixed_2 Pyktis_29',2.090000e+02,anger
'fixed_5 Dziaugsmas_86',1.890000e+02,joy
'fixed_2 Pyktis_30',1.080000e+02,anger
'fixed_1 Dziaugsmas_99',1.990000e+02,joy
'fixed_1 Liudesys_01',1.580000e+02,sadness
'fixed_5 Dziaugsmas_87',2.610000e+02,joy
'fixed_7 Pyktis_31',3.100000e+02,anger
'fixed_1 Liudesys_02',3.000000e+01,sadness
'fixed_2 Pyktis_31',5.400000e+01,anger
'fixed_7 Pyktis_32',8.600000e+01,anger
'fixed_5 Dziaugsmas_88',2.380000e+02,joy
'fixed_1 Liudesys_03',1.550000e+02,sadness
'fixed_2 Pyktis_32',1.070000e+02,anger
'fixed_7 Pyktis_33',1.860000e+02,anger
'fixed_2 Pyktis_33',1.380000e+02,anger
'fixed_1 Liudesys_04',3.010000e+02,sadness
'fixed_2 Pyktis_34',1.220000e+02,anger
'fixed_7 Pyktis_34',3.760000e+02,anger
'fixed_5 Dziaugsmas_89',1.230000e+02,joy
'fixed_1 Liudesys_05',8.400000e+01,sadness
'fixed_7 Pyktis_35',1.670000e+02,anger
'fixed_1 Liudesys_06',1.750000e+02,sadness
'fixed_2 Pyktis_35',1.250000e+02,anger
'fixed_1 Liudesys_07',1.770000e+02,sadness
'fixed_2 Pyktis_36',8.500000e+01,anger
'fixed_7 Pyktis_36',4.800000e+01,anger
'fixed_7 Pyktis_37',2.020000e+02,anger
'fixed_2 Pyktis_37',2.940000e+02,anger
'fixed_1 Liudesys_08',1.050000e+02,sadness
'fixed_5 Dziaugsmas_90',2.270000e+02,joy
'fixed_7 Pyktis_38',9.700000e+01,anger
'fixed_7 Pyktis_39',2.510000e+02,anger
'fixed_1 Liudesys_09',1.600000e+02,sadness
'fixed_2 Pyktis_38',1.220000e+02,anger
'fixed_7 Pyktis_40',3.120000e+02,anger
'fixed_5 Dziaugsmas_91',2.060000e+02,joy
'fixed_5 Dziaugsmas_92',7.800000e+01,joy
'fixed_1 Liudesys_10',1.150000e+02,sadness
'fixed_7 Pyktis_41',3.420000e+02,anger
'fixed_2 Pyktis_39',1.840000e+02,anger
'fixed_2 Pyktis_40',2.280000e+02,anger
'fixed_7 Pyktis_42',2.380000e+02,anger
'fixed_1 Liudesys_100',3.340000e+02,sadness
'fixed_5 Dziaugsmas_93',7.500000e+01,joy
'fixed_2 Pyktis_41',2.170000e+02,anger
'fixed_7 Pyktis_43',3.500000e+02,anger
'fixed_2 Pyktis_42',2.000000e+02,anger
'fixed_1 Liudesys_11',3.100000e+01,sadness
'fixed_7 Pyktis_44',2.720000e+02,anger
'fixed_2 Pyktis_43',1.230000e+02,anger
'fixed_2 Pyktis_44',2.820000e+02,anger
'fixed_7 Pyktis_45',2.310000e+02,anger
'fixed_1 Liudesys_12',9.400000e+01,sadness
'fixed_5 Dziaugsmas_94',2.920000e+02,joy
'fixed_2 Pyktis_45',2.200000e+02,anger
'fixed_1 Liudesys_13',1.080000e+02,sadness
'fixed_7 Pyktis_46',1.600000e+02,anger
'fixed_5 Dziaugsmas_95',1.050000e+02,joy
'fixed_1 Liudesys_14',6.800000e+01,sadness
'fixed_7 Pyktis_47',5.100000e+01,anger
'fixed_2 Pyktis_46',1.850000e+02,anger
